NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
Akai Katana Shin,X360,Shooter,0.04,0.0,0.01,0.0,0.06,0.01
A-Train: City Simulator,3DS,Simulation,0.0,0.0,0.06,0.0,0.06,0.06
Tecmo Classic Arcade,XB,Misc,0.05,0.01,0.0,0.0,0.06,0.01
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Misc,0.04,0.02,0.0,0.0,0.06,0.02
Mad Maestro!,PS2,Misc,0.03,0.02,0.0,0.01,0.06,0.02
Densha De Go! 3 Tsuukinhen,PS2,Simulation,0.0,0.0,0.06,0.0,0.06,0.06
Biker Mice From Mars,PS2,Racing,0.03,0.02,0.0,0.01,0.06,0.02
From The Abyss,DS,Role-Playing,0.06,0.0,0.0,0.0,0.06,0.0
Jewel Quest IV: Heritage,DS,Puzzle,0.0,0.05,0.0,0.01,0.06,0.05
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,PSP,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Sudoku Ball Detective,DS,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
The LEGO Movie Videogame,PC,Action,0.02,0.04,0.0,0.0,0.06,0.04
DuckTales: Remastered,WiiU,Action,0.06,0.0,0.0,0.01,0.06,0.0
Giants: Citizen Kabuto,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Steins;Gate,X360,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
Star Wars Knights of the Old Republic II: The Sith Lords,PC,Role-Playing,0.01,0.04,0.0,0.01,0.06,0.04
MX vs. ATV Supercross,X360,Racing,0.03,0.02,0.0,0.01,0.06,0.02
Grand Kingdom,PSV,Role-Playing,0.01,0.01,0.04,0.01,0.06,0.05
Risen 3: Titan Lords,PS4,Role-Playing,0.0,0.05,0.0,0.01,0.06,0.05
Guilty Gear XX Accent Core Plus,PS2,Fighting,0.03,0.02,0.0,0.01,0.06,0.02
LEGO Batman: The Videogame,PC,Action,0.02,0.03,0.0,0.01,0.06,0.03
Alone in the Dark,PS2,Adventure,0.03,0.02,0.0,0.01,0.06,0.02
Muppets Party Cruise,PS2,Misc,0.03,0.02,0.0,0.01,0.06,0.02
Higurashi Daybreak Portable,PSP,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
Shonen Jump's One Piece: Grand Battle,GC,Fighting,0.05,0.01,0.0,0.0,0.06,0.01
Transformer: Rise of the Dark Spark,WiiU,Action,0.04,0.01,0.0,0.01,0.06,0.01
Barbie Horse Adventures: Wild Horse Rescue,XB,Sports,0.05,0.01,0.0,0.0,0.06,0.01
Blast Lacrosse,PS,Sports,0.03,0.02,0.0,0.0,0.06,0.02
Kikou Heidan J-Phoenix,PS2,Action,0.0,0.0,0.06,0.0,0.06,0.06
Backyard NFL Football '10,PS2,Sports,0.03,0.02,0.0,0.01,0.06,0.02
DreamWorks Super Star Kartz,X360,Racing,0.05,0.01,0.0,0.0,0.06,0.01
Earth Defense Force 4.1: The Shadow of New Despair,PS4,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Legend of Kay,DS,Action,0.06,0.0,0.0,0.0,0.06,0.0
Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,Action,0.04,0.02,0.0,0.0,0.06,0.02
Bubble Bobble: Old & New,GBA,Puzzle,0.04,0.02,0.0,0.0,0.06,0.02
Speed,Wii,Racing,0.04,0.02,0.0,0.01,0.06,0.02
Naruto Shippuden: Gekito Ninja Taisen! Special,Wii,Fighting,0.0,0.0,0.06,0.0,0.06,0.06
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,Action,0.0,0.0,0.06,0.0,0.06,0.06
Kekkon: Marriage,SAT,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
KimiKiss,PS2,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
Nicola Kanshuu: Model * Oshare Audition 2,3DS,Action,0.0,0.0,0.06,0.0,0.06,0.06
Cold Fear,XB,Action,0.05,0.01,0.0,0.0,0.06,0.01
Imagine: Gymnast,DS,Simulation,0.05,0.01,0.0,0.0,0.06,0.01
Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,PSP,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Challenge Me: Brain Puzzles,DS,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
Shining Force Feather,DS,Strategy,0.0,0.0,0.06,0.0,0.06,0.06
The Technomancer,PS4,Role-Playing,0.02,0.04,0.0,0.01,0.06,0.04
Kurupoto Cool Cool Stars,DS,Action,0.06,0.0,0.0,0.0,0.06,0.0
Attack on Titan (KOEI),PS3,Action,0.0,0.0,0.06,0.0,0.06,0.06
Cocoto Kart Racer,Wii,Racing,0.06,0.0,0.0,0.0,0.06,0.0
Mobile Suit Gundam 00: Gundam Meisters,PS2,Action,0.0,0.0,0.06,0.0,0.06,0.06
Imagine: Cheerleader,DS,Simulation,0.06,0.0,0.0,0.0,0.06,0.0
Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo! ,3DS,Action,0.0,0.0,0.06,0.0,0.06,0.06
Theme Park,DS,Simulation,0.0,0.02,0.03,0.0,0.06,0.05
Call of Cthulhu: Dark Corners of the Earth,XB,Adventure,0.05,0.01,0.0,0.0,0.06,0.01
The Great Escape,XB,Action,0.05,0.01,0.0,0.0,0.06,0.01
Blur,PC,Racing,0.01,0.04,0.0,0.01,0.06,0.04
Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,Strategy,0.0,0.0,0.06,0.0,0.06,0.06
The Next BIG Thing,PC,Adventure,0.0,0.05,0.0,0.01,0.06,0.05
Metal Gear Solid: Social Ops,PS2,Action,0.03,0.02,0.0,0.01,0.06,0.02
Minna no DS Seminar: Kanpeki Eitango Ryoku,DS,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,DS,Simulation,0.0,0.0,0.06,0.0,0.06,0.06
PenPen TriIceLon,DC,Racing,0.0,0.0,0.06,0.0,0.06,0.06
Salt Lake 2002,GBA,Sports,0.04,0.02,0.0,0.0,0.06,0.02
SBK 2011: FIM Superbike World Championship,X360,Racing,0.0,0.05,0.0,0.01,0.06,0.05
DropCast,DS,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
Alien Syndrome,Wii,Role-Playing,0.05,0.0,0.0,0.0,0.06,0.0
Vexx,GC,Platform,0.05,0.01,0.0,0.0,0.06,0.01
Crazy Chicken Tales,Wii,Action,0.06,0.0,0.0,0.0,0.06,0.0
Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,Action,0.0,0.0,0.06,0.0,0.06,0.06
Mega Man Battle Network 5: Double Team DS (US sales),DS,Role-Playing,0.06,0.0,0.0,0.0,0.06,0.0
Attack on Titan (KOEI),XOne,Action,0.02,0.03,0.0,0.0,0.06,0.03
Batman: Rise of Sin Tzu,GC,Action,0.05,0.01,0.0,0.0,0.06,0.01
Secret Files: Tunguska,Wii,Adventure,0.04,0.01,0.0,0.0,0.06,0.01
EverQuest II: Destiny of Velious,PC,Role-Playing,0.06,0.0,0.0,0.0,0.06,0.0
Unreal Tournament III,PC,Shooter,0.0,0.05,0.0,0.01,0.06,0.05
Disney Sports Skateboarding,GC,Sports,0.05,0.01,0.0,0.0,0.06,0.01
Summon Night 6: Lost Borders,PSV,Action,0.0,0.0,0.06,0.0,0.06,0.06
Summon Night 2,DS,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Chou Soujuu Mecha MG,DS,Simulation,0.0,0.0,0.06,0.0,0.06,0.06
Pro Evolution Soccer 2012,PS2,Action,0.0,0.0,0.06,0.0,0.06,0.06
Grey's Anatomy: The Video Game,Wii,Adventure,0.05,0.01,0.0,0.0,0.06,0.01
Terminator 3: The Redemption,XB,Shooter,0.05,0.01,0.0,0.0,0.06,0.01
Arkanoid DS,DS,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
Call of Duty 2,PC,Shooter,0.0,0.05,0.0,0.01,0.06,0.05
Big Bang Mini,DS,Shooter,0.05,0.0,0.0,0.0,0.06,0.0
Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,PSP,Action,0.0,0.0,0.06,0.0,0.06,0.06
Chevrolet Camaro: Wild Ride,Wii,Racing,0.06,0.0,0.0,0.0,0.06,0.0
Genkai Tokki: Moero Crystal,PSV,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Project Setsuna,PS4,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Serious Sam II,XB,Shooter,0.05,0.01,0.0,0.0,0.06,0.01
Neon Genesis Evangelion,N64,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
Song of the Deep,XOne,Action,0.05,0.0,0.0,0.01,0.06,0.0
JoJo's Bizarre Adventure: All Star Battle,3DS,Fighting,0.06,0.0,0.0,0.0,0.06,0.0
Digimon All-Star Rumble,X360,Fighting,0.05,0.01,0.0,0.01,0.06,0.01
The Legend of Heroes VII: The Trail of Blue,PSV,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
MotoGP 10/11,X360,Racing,0.0,0.05,0.0,0.01,0.06,0.05
Cabela's Big Game Hunter (2008),X360,Sports,0.06,0.0,0.0,0.0,0.06,0.0
Dead Rising 2: Off the Record,PC,Action,0.04,0.02,0.0,0.01,0.06,0.02
Flipnic: Ultimate Pinball,PS2,Misc,0.03,0.02,0.0,0.01,0.06,0.02
ICO,PS3,Action,0.0,0.0,0.06,0.0,0.06,0.06
Eigo de Tabisuru: Little Charo,DS,Misc,0.0,0.0,0.06,0.0,0.06,0.06
World Series of Poker 2008: Battle for the Bracelets,DS,Misc,0.05,0.0,0.0,0.0,0.06,0.0
NBA Hangtime,PS,Sports,0.03,0.02,0.0,0.0,0.06,0.02
Busy Scissors,DS,Simulation,0.06,0.0,0.0,0.0,0.06,0.0
Dreamer Series: Zoo Keeper,DS,Simulation,0.06,0.0,0.0,0.0,0.06,0.0
D.C. II P.S.: Da Capo II Plus Situation,PS2,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
The Witcher,PC,Role-Playing,0.0,0.05,0.0,0.01,0.06,0.05
Mike Piazza's Strike Zone,N64,Sports,0.05,0.01,0.0,0.0,0.06,0.01
Bust-A-Move '99,N64,Puzzle,0.05,0.01,0.0,0.0,0.06,0.01
Star Soldier: Vanishing Earth,N64,Shooter,0.05,0.01,0.0,0.0,0.06,0.01
Top Gear Hyper-Bike,N64,Racing,0.05,0.01,0.0,0.0,0.06,0.01
Brunswick Circuit Pro Bowling,N64,Sports,0.05,0.01,0.0,0.0,0.06,0.01
Olympic Hockey 98,N64,Sports,0.05,0.01,0.0,0.0,0.06,0.01
CyberTiger,N64,Sports,0.05,0.01,0.0,0.0,0.06,0.01
Polaris SnoCross,N64,Racing,0.05,0.01,0.0,0.0,0.06,0.01
Penny Racers,N64,Racing,0.05,0.01,0.0,0.0,0.06,0.01
S.C.A.R.S,N64,Racing,0.05,0.01,0.0,0.0,0.06,0.01
Another Code R: A Journey into Lost Memories,Wii,Adventure,0.0,0.03,0.03,0.0,0.06,0.06
Virtual Chess 64,N64,Misc,0.05,0.01,0.0,0.0,0.06,0.01
Marvel Super Heroes,SAT,Fighting,0.0,0.0,0.06,0.0,0.06,0.06
Worms Blast,GC,Puzzle,0.05,0.01,0.0,0.0,0.06,0.01
Atelier Sophie: The Alchemist of the Mysterious Book,PSV,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Prinny: Can I Really Be The Hero? (US sales),PSP,Action,0.06,0.0,0.0,0.0,0.06,0.0
Coded Arms: Contagion,PSP,Shooter,0.05,0.0,0.0,0.01,0.06,0.0
Foster's Home for Imaginary Friends: Imagination Invaders,DS,Adventure,0.06,0.0,0.0,0.0,0.06,0.0
Smile PreCure! Let's Go! Marchen World,3DS,Action,0.0,0.0,0.06,0.0,0.06,0.06
S.T.A.L.K.E.R.: Call of Pripyat,PC,Shooter,0.0,0.05,0.0,0.01,0.06,0.05
IHRA Professional Drag Racing 2005,XB,Racing,0.04,0.01,0.0,0.0,0.06,0.01
Tokyo Xtreme Racer Advance,GBA,Racing,0.04,0.02,0.0,0.0,0.06,0.02
Doraemon: Nobita no Uchuu Eiyuuki,3DS,Action,0.0,0.0,0.06,0.0,0.06,0.06
Disney's Kim Possible: Global Gemini,DS,Platform,0.05,0.01,0.0,0.0,0.06,0.01
Rock Blast,DS,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
I Love Beauty: Hollywood Makeover,DS,Misc,0.06,0.0,0.0,0.0,0.06,0.0
A New Beginning,PC,Adventure,0.0,0.05,0.0,0.01,0.06,0.05
World Cup of Pool,DS,Sports,0.06,0.0,0.0,0.0,0.06,0.0
Santa Claus Is Comin' to Town!,Wii,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
Create,PC,Action,0.04,0.01,0.0,0.01,0.06,0.01
MLB Power Pros 2008,DS,Sports,0.06,0.0,0.0,0.0,0.06,0.0
Combat Elite: WWII Paratroopers,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Power Pro Success Legends,PSP,Sports,0.0,0.0,0.06,0.0,0.06,0.06
Killer Loop,PS,Racing,0.03,0.02,0.0,0.0,0.06,0.02
Cabela's Dangerous Hunts: Ultimate Challenge,PSP,Sports,0.06,0.0,0.0,0.0,0.06,0.0
Little League World Series Baseball 2008,DS,Sports,0.06,0.0,0.0,0.0,0.06,0.0
Worldwide Soccer,SAT,Sports,0.0,0.0,0.06,0.0,0.06,0.06
Toriko: Gourmet Battle!,3DS,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Tony Hawk's Pro Skater 5,PS3,Sports,0.05,0.0,0.0,0.01,0.06,0.0
Showtime Championship Boxing,DS,Fighting,0.06,0.0,0.0,0.0,0.06,0.0
Commandos: Strike Force,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Puzzler Collection,Wii,Puzzle,0.05,0.0,0.0,0.0,0.06,0.0
Rapala Pro Fishing,GBA,Sports,0.04,0.02,0.0,0.0,0.06,0.02
Guilty Gear X: Advance Edition,GBA,Fighting,0.04,0.02,0.0,0.0,0.06,0.02
Fate/Tiger Colosseum Upper,PSP,Fighting,0.0,0.0,0.06,0.0,0.06,0.06
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,DS,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Warriors of the Lost Empire,PSP,Role-Playing,0.05,0.0,0.0,0.0,0.06,0.0
Pop Cutie! Street Fashion Simulation,DS,Simulation,0.06,0.0,0.0,0.0,0.06,0.0
Ford Racing 3,GBA,Racing,0.04,0.02,0.0,0.0,0.06,0.02
Culdcept Revolt,3DS,Strategy,0.0,0.0,0.06,0.0,0.06,0.06
Devil's Third,WiiU,Action,0.04,0.02,0.0,0.01,0.06,0.02
PachiPara 13: Super Umi no Pachi-Pro Fuuunroku,PS2,Misc,0.0,0.0,0.06,0.0,0.06,0.06
World Soccer Winning Eleven 9 (US sales),PSP,Sports,0.05,0.0,0.0,0.0,0.06,0.0
Star Trek: Tactical Assault,DS,Strategy,0.05,0.01,0.0,0.0,0.06,0.01
Oddworld: Munch's Oddysee,GBA,Platform,0.04,0.02,0.0,0.0,0.06,0.02
Winning Post 4 Maximum,PS2,Sports,0.0,0.0,0.06,0.0,0.06,0.06
Xiaolin Showdown,PSP,Action,0.05,0.0,0.0,0.0,0.06,0.0
Exhibition Volume 5,XB,Misc,0.04,0.01,0.0,0.0,0.06,0.01
Record of Lodoss War: Eiyuu Sensou,SCD,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Pro Yakyuu Netsu Star 2007,PS2,Sports,0.0,0.0,0.06,0.0,0.06,0.06
Starry ? Sky: In Summer,PSP,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Klonoa Beach Volleyball,PS,Sports,0.03,0.02,0.0,0.0,0.06,0.02
Melty Blood: Actress Again,PS2,Fighting,0.0,0.0,0.06,0.0,0.06,0.06
Mahouka Koukou no Rettousei: Out of Order,PSV,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
3D Lemmings,PS,Puzzle,0.03,0.02,0.0,0.0,0.06,0.02
Hi Hi Puffy AmiYumi: Kaznapped,GBA,Action,0.04,0.02,0.0,0.0,0.06,0.02
Broken Sword: The Shadow of the Templars,GBA,Adventure,0.04,0.02,0.0,0.0,0.06,0.02
Resident Evil - Code: Veronica X,GC,Action,0.05,0.01,0.0,0.0,0.06,0.01
Corpse Party: Back to School Edition,3DS,Adventure,0.05,0.0,0.0,0.01,0.06,0.0
Tenchi Muyou! Ryoukouki Gokuraku,SAT,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
Kelly Slater's Pro Surfer,GC,Sports,0.05,0.01,0.0,0.0,0.06,0.01
I Am In The Movie,PSP,Simulation,0.0,0.0,0.06,0.0,0.06,0.06
Zoo Tycoon: Complete Collection,PC,Strategy,0.03,0.02,0.0,0.01,0.06,0.02
Trapt,PS2,Action,0.03,0.02,0.0,0.01,0.06,0.02
Splat Renegade Paintball,XB,Sports,0.04,0.01,0.0,0.0,0.06,0.01
Lord of Magna: Maiden Heaven,3DS,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
SpongeBob SquarePants: Plankton's Robotic Revenge,3DS,Shooter,0.0,0.06,0.0,0.0,0.06,0.06
Metal Max 4: Gekkou no Diva,3DS,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Magi: Aratanaru Sekai,3DS,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Worms 3D,XB,Strategy,0.04,0.01,0.0,0.0,0.06,0.01
Playmobil Knights,DS,Action,0.04,0.01,0.0,0.0,0.06,0.01
MXGP 2,XOne,Racing,0.03,0.02,0.0,0.01,0.06,0.02
PoPoLoCrois,PSP,Role-Playing,0.05,0.0,0.0,0.0,0.06,0.0
Dragon Rage,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Theresia...,DS,Adventure,0.05,0.0,0.0,0.0,0.06,0.0
Sacred 2: Fallen Angel,PC,Role-Playing,0.0,0.05,0.0,0.01,0.06,0.05
Dance Sensation!,Wii,Misc,0.06,0.0,0.0,0.0,0.06,0.0
Adventure Time: The Secret of the Nameless Kingdom,X360,Action,0.0,0.05,0.0,0.0,0.06,0.05
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,Action,0.05,0.0,0.0,0.0,0.06,0.0
Raw Danger! (JP sales),PS2,Action,0.0,0.0,0.06,0.0,0.06,0.06
Archer Maclean Presents: Pool Paradise,PS2,Sports,0.03,0.02,0.0,0.01,0.06,0.02
Jumper: Griffin's Story,X360,Action,0.05,0.0,0.0,0.0,0.06,0.0
Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,DS,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Utawarerumono: Itsuwari no Kamen,PS4,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
pro evolution soccer 2011,PC,Sports,0.0,0.05,0.0,0.01,0.06,0.05
Backyard Skateboarding 2006,GBA,Sports,0.04,0.02,0.0,0.0,0.06,0.02
Syndicate,PC,Strategy,0.0,0.05,0.0,0.01,0.06,0.05
Tron 2.0: Killer App,XB,Action,0.04,0.01,0.0,0.0,0.06,0.01
Steins;Gate: Hiyoku Renri no Darling,PSP,Action,0.0,0.0,0.06,0.0,0.06,0.06
Call of Duty: The War Collection,X360,Shooter,0.05,0.0,0.0,0.0,0.06,0.0
Gegege no Kitarou: Youkai Daigekisen,DS,Action,0.0,0.0,0.06,0.0,0.06,0.06
Dig Dug: Digging Strike,DS,Puzzle,0.05,0.0,0.0,0.0,0.06,0.0
FIFA Soccer 07,DS,Sports,0.05,0.01,0.0,0.0,0.06,0.01
Emblem of Gundam,DS,Strategy,0.0,0.0,0.06,0.0,0.06,0.06
The Fast and the Furious,PS2,Racing,0.03,0.02,0.0,0.01,0.06,0.02
Satisfashion,DS,Misc,0.05,0.0,0.0,0.0,0.06,0.0
Imagine: Resort Owner,DS,Strategy,0.05,0.0,0.0,0.0,0.06,0.0
G-Police: Weapons of Justice,PS,Action,0.03,0.02,0.0,0.0,0.06,0.02
Paws & Claws: Pampered Pets 2,DS,Simulation,0.05,0.0,0.0,0.0,0.06,0.0
Policenauts,3DO,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
All Kamen Rider: Rider Generation 2,PSP,Action,0.0,0.0,0.06,0.0,0.06,0.06
Killing Zone,PS,Fighting,0.03,0.02,0.0,0.0,0.06,0.02
Adventures of Lolo,NES,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
Quiz! Hexagon II,DS,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Vampire Rain: Altered Species,PS3,Action,0.05,0.0,0.0,0.0,0.06,0.0
The History Channel: Battle for the Pacific,X360,Shooter,0.05,0.0,0.0,0.0,0.06,0.0
BlazBlue Central Fiction,PS3,Fighting,0.02,0.02,0.02,0.01,0.06,0.04
Racing Gears Advance,GBA,Racing,0.04,0.02,0.0,0.0,0.06,0.02
Syphon Filter: Logan's Shadow,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
NTRA Breeders' Cup World Thoroughbred Championships,XB,Simulation,0.04,0.01,0.0,0.0,0.06,0.01
Mayhem 3D,PS3,Racing,0.05,0.0,0.0,0.01,0.06,0.0
Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune,PS2,Misc,0.0,0.0,0.06,0.0,0.06,0.06
Toy Soldiers: War Chest,XOne,Action,0.05,0.0,0.0,0.01,0.06,0.0
Tanjou S Debut,SAT,Simulation,0.0,0.0,0.06,0.0,0.06,0.06
Inversion,X360,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Nendoroid Generation,PSP,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Pop'n TwinBee: Rainbow Bell Adventure,SNES,Platform,0.0,0.0,0.06,0.0,0.06,0.06
Need for Speed: Shift,PC,Racing,0.0,0.05,0.0,0.01,0.06,0.05
Mercury Meltdown,PSP,Action,0.05,0.0,0.0,0.01,0.06,0.0
Exist Archive: The Other Side of the Sky,PSV,Role-Playing,0.01,0.0,0.05,0.0,0.06,0.05
Zoo Tycoon 2,PC,Strategy,0.0,0.05,0.0,0.01,0.06,0.05
Broken Helix,PS,Action,0.03,0.02,0.0,0.0,0.06,0.02
Crazy Chicken: Pharaoh's Treasure,DS,Puzzle,0.05,0.0,0.0,0.0,0.06,0.0
Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,DS,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Brave: A Warrior's Tale,X360,Action,0.05,0.01,0.0,0.0,0.06,0.01
Myst III: Exile,XB,Adventure,0.04,0.01,0.0,0.0,0.06,0.01
Hajime no Ippo Portable: Victorious Spirits,PSP,Fighting,0.0,0.0,0.06,0.0,0.06,0.06
CMT Presents: Karaoke Revolution Country,PS2,Misc,0.03,0.02,0.0,0.01,0.06,0.02
Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,Fighting,0.0,0.0,0.06,0.0,0.06,0.06
Rooms: The Main Building,Wii,Adventure,0.05,0.0,0.0,0.0,0.06,0.0
Brave: A Warrior's Tale,Wii,Action,0.05,0.0,0.0,0.0,0.06,0.0
Jumble Madness,DS,Puzzle,0.06,0.0,0.0,0.0,0.06,0.0
Brain Quest: Grades 3 & 4,DS,Misc,0.05,0.0,0.0,0.0,0.06,0.0
Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu DS+,DS,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Vitamin X to Z,PSP,Adventure,0.0,0.0,0.06,0.0,0.06,0.06
Fatal Frame,XB,Action,0.04,0.01,0.0,0.0,0.06,0.01
Urban Chaos: Riot Response,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,Shooter,0.03,0.02,0.0,0.01,0.06,0.02
Jacqueline Wilson's Tracy Beaker: The Game,DS,Misc,0.0,0.05,0.0,0.0,0.06,0.05
Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,Action,0.0,0.0,0.06,0.0,0.06,0.06
Ivy the Kiwi?,Wii,Puzzle,0.04,0.02,0.0,0.0,0.06,0.02
Resident Evil 2,GC,Action,0.04,0.01,0.0,0.0,0.06,0.01
Honeycomb Beat,DS,Puzzle,0.05,0.0,0.0,0.0,0.06,0.0
Real Bout Garou Densetsu Special: Dominated Mind,PS,Fighting,0.0,0.0,0.05,0.0,0.06,0.05
Minna no Sukkiri,PSP,Sports,0.0,0.0,0.06,0.0,0.06,0.06
Catwoman,XB,Action,0.04,0.01,0.0,0.0,0.06,0.01
Aquarium by DS,DS,Simulation,0.05,0.0,0.0,0.0,0.06,0.0
Winter Sports 2: The Next Challenge,DS,Sports,0.04,0.02,0.0,0.0,0.06,0.02
Chaos Rings III,PSV,Role-Playing,0.0,0.0,0.06,0.0,0.06,0.06
Top Gun: Hard Lock,X360,Action,0.03,0.02,0.0,0.0,0.06,0.02
Kamen Rider: Battride War Genesis,PS4,Action,0.0,0.0,0.06,0.0,0.06,0.06
Warriors Orochi 2,X360,Action,0.04,0.0,0.01,0.0,0.06,0.01
Mana Khemia: Alchemists of Al-Revis,PS2,Role-Playing,0.03,0.02,0.0,0.01,0.06,0.02
Burning Rangers,SAT,Platform,0.0,0.0,0.06,0.0,0.06,0.06
Flip's Twisted World,Wii,Platform,0.05,0.0,0.0,0.0,0.06,0.0
Street Fighter V,PC,Fighting,0.0,0.05,0.0,0.0,0.06,0.05
The Amazing Spider-Man 2 (2014),WiiU,Action,0.03,0.02,0.0,0.0,0.06,0.02
Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,Action,0.0,0.0,0.06,0.0,0.06,0.06
Samurai Warriors 4: Empires,PS3,Action,0.0,0.0,0.06,0.0,0.06,0.06
Interplay Sports Baseball 2000,PS,Sports,0.03,0.02,0.0,0.0,0.06,0.02
Zone of the Enders: The Fist of Mars,GBA,Role-Playing,0.04,0.02,0.0,0.0,0.06,0.02
Animorphs: Shattered Reality,PS,Action,0.03,0.02,0.0,0.0,0.06,0.02
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,Fighting,0.0,0.0,0.06,0.0,0.06,0.06
Eikan wa Kimini 2002: Koshien no Kodou,PS2,Sports,0.0,0.0,0.06,0.0,0.06,0.06
MX vs. ATV Supercross Encore,PS4,Sports,0.0,0.05,0.0,0.01,0.06,0.05
Gun Showdown,PSP,Action,0.05,0.0,0.0,0.01,0.06,0.0
Terminator 3: Rise of the Machines,GBA,Action,0.04,0.02,0.0,0.0,0.06,0.02
Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,Misc,0.0,0.0,0.06,0.0,0.06,0.06
G1 Jockey 2,PS2,Sports,0.0,0.0,0.06,0.0,0.06,0.06
Tiger Woods PGA Tour 08,DS,Sports,0.05,0.0,0.0,0.0,0.06,0.0
Mobile Ops: The One Year War,X360,Simulation,0.0,0.0,0.06,0.0,0.06,0.06
Constantine,XB,Action,0.04,0.01,0.0,0.0,0.06,0.01
